Host [ms];Device [ms]
10596.2;6210.5
10635.0;6124.2
10555.5;6209.6
10535.2;6130.5
10510.3;6149.2
10558.5;6187.7
10603.7;6205.0
10578.1;6120.2
10641.2;6150.9
10644.8;6129.2
10401.8;6187.6
10457.6;6166.1
10364.7;6125.3
10372.1;6121.9
10376.2;6165.2
10389.5;6131.4
10377.8;6125.8
10335.9;6190.6
10591.1;6140.4
10565.6;6134.5
9721.7;6190.6
9748.5;6169.4
9712.8;6216.4
9720.2;6180.4
9726.7;6184.9
9690.8;6189.1
9690.9;6172.9
9783.9;6161.6
9728.8;6158.9
9693.7;6181.2
9628.0;6192.8
9610.6;6178.4
9672.5;6177.9
9806.2;6168.5
9891.3;6183.9
9759.5;6385.8
12814.9;6196.9
9810.4;6177.4
9883.2;6238.6
9839.3;6196.5
9763.0;6168.5
9744.0;6191.2
9775.3;6197.9
9807.4;6187.7
9784.9;6195.7
9756.0;6199.9
9747.1;6179.0
9769.1;6197.6
9767.8;6237.1
9770.1;6219.1
10881.9;6267.5
9921.8;6251.4
9760.5;6249.4
12063.1;6231.8
9751.0;6215.1
9825.3;6402.5
10096.2;6302.4
9678.6;6223.6
9594.5;6254.3
9971.1;6210.4
9622.6;6188.4
9956.2;6302.0
9559.2;6217.0
9733.6;6233.6
9773.7;6239.3
9626.7;6385.6
9712.9;6271.3
9654.9;6246.4
9746.3;6261.7
9587.0;6272.9
11170.1;6238.4
10988.7;6133.5
9808.3;6333.3
11359.0;6385.2
10779.4;6204.1
9892.8;6214.5
10930.5;6426.6
11183.6;6973.0
9779.0;6126.2
9673.4;6280.9
11577.5;7224.5
11079.2;6867.0
11408.4;6859.5
12211.7;7008.2
12552.7;6824.1
12197.8;6953.2
12430.5;6769.4
11834.7;7130.5
11632.7;7121.7
12259.0;7010.6
9690.0;6185.8
9745.9;6129.9
12156.0;7766.8
9922.7;6213.9
11080.2;6251.3
11694.1;7048.0
12123.0;6898.5
12495.8;6995.2
12144.3;7082.4
12333.1;7478.1